Client,Project,Registered time,Billable time,Amount ()
,5.0,01:53:23,,
,5.1,01:41:03,,
,5.2,00:46:43,,
,5.3,00:58:29,,
,5.4,01:06:26,,
,5.5,00:34:18,,
,5.7 and 5.8,01:01:05,,
,6.0,01:02:12,,
,6.1 and 6.2,02:18:53,,
,6.3,01:34:15,,
,6.5 tech blog,00:47:57,,
,6.7 reflection,00:08:27,,
,Time,00:06:05,,
