Client,Project,Registered time,Billable time,Amount ()
,Build redesigned site,04:54:41,,
,Cultural blog,01:28:53,,
,Redesign your site,00:57:21,,
,Reflection,00:53:38,,
,Tech blog 3,01:38:00,,
